"","Sample_ID","ssGSEA_patient_epi_score","ssGSEA_patient_mes_score","ssGSEA_cell_epi_score","ssGSEA_cell_mes_score","ssGSEA_overlap_epi_score","ssGSEA_overlap_mes_score","SingScore_TotalScore","SingScore_mes_score","SingScore_epi_score"
"75","mel085",0.179483147884932,0.674525922384108,0.267675498159468,0.692103297180766,0.148001936718527,0.717728641702593,0.266589671270795,0.321328255903158,-0.0547385846323631
"76","mel086",0.145382804438614,0.587877464517488,0.181361904518695,0.712246609132954,0.0900016862712421,0.737567417085626,0.249693508692389,0.276889378073387,-0.0271958693809984
"77","mel087",0.295465757303089,0.565096438302251,0.327563477818403,0.692243378386782,0.273722508043395,0.728247498338539,0.152059870169774,0.264858926197206,-0.112799056027432
"78","mel088",0.119909499954873,0.612460489154234,0.154318107724333,0.73312875948186,0.0437389988692337,0.735802154245651,0.27985595782232,0.291097656184656,-0.0112416983623357
"79","mel089",0.174656850131058,0.578360166324205,0.213913638201595,0.673197876074411,0.111025322671193,0.705045945416233,0.26704464097372,0.270393378730652,-0.00334873775693201
"80","mel090",0.108141100492777,0.757025119679444,0.175922576786253,0.803552988415319,0.0692258699857972,0.81737858755961,0.352952551932959,0.362211464492327,-0.00925891255936784
"81","mel091",0.182710166405139,0.568588455737368,0.25425646491344,0.684257024615843,0.117801081855088,0.687549850733767,0.215279212076076,0.266460163143218,-0.0511809510671423
"82","mel092",0.183115100251959,0.540738986217238,0.195814513205504,0.731967188877471,0.0987146928316498,0.720035633170498,0.222638520934497,0.251497427581719,-0.0288589066472222
"83","mel093",0.126568469418171,0.515991829987923,0.144743224327734,0.730274352662813,0.00433369734868425,0.741097639334838,0.247206625575502,0.240467272364221,0.00673935321128027
"84","mel094",0.261581439719706,0.688042739422568,0.31077908390497,0.787076301539194,0.219918399348957,0.810966644235399,0.219194128074979,0.326763398713293,-0.107569270638315
"85","mel095",0.307857628494965,0.622042012429907,0.350216174423068,0.712999505820294,0.278998934692606,0.736347859037208,0.160899565976259,0.294684028857839,-0.13378446288158
