"","MEblue","MEcyan","MEpink","MEturquoise","MEgrey60","MEpurple","MEred","MEyellow","MEmagenta","MEblack","MEmidnightblue","MEgreen","MElightcyan","MEtan","MEgreenyellow","MEbrown","MEsalmon","MEgrey"
"mel283",0.0457872466080592,-0.0169806960733149,-0.0748835883235225,-0.0144385271341718,-0.00833382431338386,-0.0156343321947826,-0.0251025163705943,0.0680124016726543,-0.0244902701343262,-0.0378692773998049,-0.026461695793636,-0.0208956917738981,-0.0267217491689887,0.0125558340755808,0.00838365591345664,-0.0109770502930133,0.0230231980145079,0.00863795876819551
"mel417",-0.00944665242921574,0.0614118000240042,0.0704126350920826,-0.019473079314691,0.0164065208396314,-0.048244753826166,-0.018275125270953,-0.0717832963444473,-0.0699919387343415,-0.0674251503719268,-0.0158456341928189,0.0263556311210665,0.0662898407667256,0.0677142293686513,0.0419103714462099,0.0466797159272537,0.00137520841320581,-0.048838355260148
"mel297",0.0755701716848038,-0.0132535336292834,0.0379210542890953,0.02793683322743,-0.0157606732650367,-0.0853134028512232,-0.0428964237962806,-0.0865233080481012,-0.0542595626896443,-0.0400619856213208,-0.0605667956423543,0.0424627522665272,0.0179943456248065,0.00123528644138387,0.0317917505835373,-0.0358975959350024,-0.0719831794663284,-0.050547215786962
"mel326",-0.00385285760740553,0.0750098528735771,0.0614229903932898,0.0388284853064248,-0.0176415121163222,-0.0258473601283002,-0.0315952862587855,0.0182633560414476,-0.0229839062080364,-0.0249611822034194,-0.0339539752515022,-0.044754072766887,-0.110546545944509,-0.06402061774369,0.0530320577035705,-0.00804656937977399,-0.00190190897115127,-0.0786356204020506
"mel040",0.0359357809918518,-0.0143225423390992,0.0257884064925066,0.0215673005826673,0.00898356644863819,-0.0717544317000618,-0.0263677462678816,-0.0647962849566757,-0.0511441120600154,-0.0755047519513736,-0.0584505733159584,0.0290192560557277,0.033381926314242,0.0410954194871084,0.0279278161683986,0.00222409187109853,-0.0669014385434947,-0.0206961486459952
"mel382",0.0217652405605758,0.0248294842329066,0.000754297203975326,0.0103960086432215,0.00400650344877815,0.011732471554072,-0.0158160112954397,-0.0109499625744451,0.0598638964229079,0.0178677876998938,0.0375165218129542,0.0334189843819604,0.0679667818931143,0.0563258086020708,-0.100851363877574,-0.00879120132683814,-0.0239774686266885,0.0893167702211307
"mel275",0.076686450456494,-0.0568282681314224,-0.127211634640717,-0.0525248501046537,0.0409782512690174,-0.0306956837054476,-0.00485834137254333,-0.0376992737908791,-0.0518791039202073,-0.0292266333137728,-0.0288668635384145,0.0288493662686433,0.0199769489109457,0.0463963296203695,0.035248603877721,0.02564939108862,-0.00260867305088911,0.0197149621336942
"mel396",0.0788685926000451,-0.0285630387754152,-0.11544743984068,-0.023759204605566,0.0148426602089699,-0.0246776735658534,-0.0210013478067691,0.0487914460412306,-0.0413344428604092,-0.070786968462294,-0.0761306696808998,-0.0048008936197866,-0.00702536814388461,0.00619455284512399,-0.0233734134356705,-0.0121651535044156,0.00589005875255,0.069060803465697
"mel325",-0.0133379295042011,0.022164926699946,0.00946769874430959,0.0229348240680007,0.0124237192624071,-0.028368914246697,-0.0202263081022874,0.0494330435191449,-0.0201491982751357,-0.0223186381285199,-0.0440797800626136,-0.0524977664785247,-0.0729313603010389,-0.0712085665052606,0.0523003225380264,-0.00844134476750488,0.0183516020463379,-0.0567317321311768
"mel409",-0.0775845406864499,0.0146188813258211,0.0353124441652154,-0.041343978472019,-0.0122241982648391,0.0123091730846954,-0.0186620382487052,0.048477806903471,-0.00388284408670444,0.0340598888790465,0.0296003625332755,-0.0561585380702761,-0.0597205231766064,-0.0355590744524708,0.0541478715803145,0.0260866024904591,0.0374599959378981,-0.0186199718494576
"mel103",0.0747728169963049,-0.0284534475494581,-0.0026083163165612,0.0197469135108529,-0.018528735483381,-0.011181682926251,-0.0219418592344218,0.0132413406467948,0.000675467368013992,-0.000548504349286774,-0.00719393052721086,-0.0465229424512601,-0.0420352528485701,0.00536802847356956,0.00719834984226997,-0.0299979163875765,-0.0310942039316936,0.0131886078993152
"mel208",0.0900241770930963,-0.00753805794540264,-0.0331265021717677,0.0105422867131499,-0.0324591282348701,-0.0103911806560071,-0.0204349603519169,-0.0349067634742269,0.0163912599508586,-0.00780098017483611,-0.0349652232495603,-0.0336692428806839,-0.0600103051934896,-0.0389964582277758,-0.00191800131709877,-0.0384903759123571,-0.0587475749300991,0.0884901014611099
"mel273",0.0440168722782583,0.0157452198685979,0.0306726611044759,0.0437434771369995,-0.0015379370445782,-0.0655197973979748,-0.031929945621196,-0.035262645480648,-0.0126777245326384,-0.0493281219662772,-0.0598204461679131,0.0970850490703174,0.136192645495331,0.085581562576703,-0.017579298279753,-0.00867188839302366,-0.0448861501140758,0.00542898515428257
"mel163",0.0209735784513636,0.000212323641075063,-0.0147676900451081,-0.0176715441712589,-0.000322687870589153,-0.0144049889297646,-0.0118240551120204,-0.0502477450778758,-0.0112130640090989,0.0098497941015437,0.0408970651305576,0.0918712188289035,-0.0094459043540002,0.0216389815865371,0.0460398006593045,-0.000294333569901376,-0.0357349542263195,0.00371048372355693
"mel039",-0.115698328755276,-0.0104046358874202,-0.00502522949546351,-0.0947323140407984,0.00751680358571854,0.00163375903085481,-0.0252885285691444,0.0733782719176959,-0.0542325008065351,-0.0168334884142368,-0.00545391645874918,-0.0384095905454587,-0.0355764736843235,0.00426276719014757,0.0443788190966507,0.0654367442358499,0.101768462900385,-0.0367301008718082
"mel210",-0.0422784322921506,0.0376762732712701,0.0375708979723218,0.0192289066628507,-0.00476979917627425,-0.0376754815222004,-0.0241577437457768,-0.0459592141887721,-0.0430476679120209,-0.0608478078886929,-0.0193536573922915,-0.0636381720567605,-0.0611269782981481,0.00236558044310813,0.022040006492964,0.0292491359003256,0.00193357786077149,-0.0235586358421693
"mel171",-0.0445237251743449,-0.00283133984760679,-0.00370490624932004,0.012851301664049,-0.0141195347226501,-0.0422818014419641,-0.0239415898444736,-0.0539177928935466,-0.0696858906000909,-0.0837469676778759,-0.045925957165805,-0.0463124820403322,-0.0341808583606696,0.0024562113749699,0.0211854627382325,0.0353654219355741,0.0274118144863532,-0.0185371813481277
"mel175",-0.0331505458155623,0.0165062558573981,0.0563967828482857,0.0406392449643783,-0.0167087985579538,-0.0511170797126785,-0.0245109521410241,-0.0750981714992562,-0.0191232329119599,-0.00128304737360521,0.00274827003870412,-0.0264547854434032,-0.0693833536334545,-0.0259076512265068,0.0597806110522006,0.00887122955460982,-0.0224154892506471,-0.0834530151532547
"mel319",0.0102406008137228,-0.00378000565750776,-0.0126789612726185,0.00472277167448106,0.0239643300091895,0.00874356889697889,0.0268021313645154,0.0466639139640424,-0.0139612340558808,-0.0318998546747356,-0.040714592918107,0.00355084409628507,-0.0359585552494927,-0.0395831582292899,-0.0112710469593877,-0.0133348133965304,0.0129209071757339,0.0325286208496634
"mel157",-0.0367397651350194,0.0293557299325524,0.0433862633892063,0.0335609166506663,-0.025174295397129,-0.00796712058627667,-0.0234401566891306,0.0493860211787938,-0.0083314151715093,-0.0214541305460549,-0.00138821115636807,-0.0281350283347363,0.00669795696085712,-0.0227895059590528,0.0312888340215841,-0.0260335888423981,-0.00805920338412793,-0.0198277056832124
"mel008",0.0151278760595034,-0.046661021038303,0.000958267807207681,0.0439106564556735,-0.0507167047113239,-0.00579386556512753,-0.0266142260203333,-0.0366402887206683,0.107385483550769,0.0255982022511729,0.0443527641777559,0.0395697793641771,-0.0943922257179198,-0.0997175988980101,-0.101691373582002,-0.0388804021134917,-0.0258989892871071,0.0878911545615412
"mel046",-0.137311349945356,-0.00909795826689323,0.00415219071686339,-0.144796895086091,0.00350649722568674,-0.00797234347427147,-0.0257425395781695,0.00782695471743833,-0.042909428711109,0.0342619512700702,0.0758377608138924,0.117975908710776,0.0736781320402167,0.103287387326755,0.0370854901755254,0.132934271479901,0.11462287882863,-0.061210662051241
"mel427",-0.0199497332627889,-0.0626082651685485,0.0392979857323549,0.0319539611884404,-0.0202888513734292,-0.0100759141795549,-0.0276065738767375,0.0339222783673813,0.0276596681311574,0.0269064300716434,0.0200074193942902,0.00725528410356156,-0.0528232143515495,-0.0476646710225234,0.0130154087262016,-0.0201823168930557,0.00343374600877442,-0.00309257615914687
"mel036",0.0013247257141447,-0.0084002096988611,0.0266450225541947,0.0531437170542481,-0.0365956284430708,-0.0282856374738611,-0.0380111839901007,0.000388606214262349,0.0102975003773756,-0.00393914362163661,-0.00032149148066645,-0.0490919431722741,-0.0414158455515489,-0.0219852429558838,0.0101589910757965,-0.0202297463337585,-0.0301492852724879,-0.019005600702103
