"","V1","V2","V3","V4","V5","V6","V7","V8"
"cell_type","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel182","4.151119e-09","2.860199e-02","2.054651e-01","5.212733e-02","1.557794e-01","1.256137e-02","1.165060e-09","5.454648e-01"
"mel076","3.883460e-09","1.678326e-02","1.486605e-01","6.208313e-09","1.346235e-01","1.589556e-02","1.979671e-07","6.840370e-01"
"mel310","5.017710e-09","1.685628e-02","1.230499e-01","7.889290e-09","1.486069e-01","1.056851e-02","7.199052e-05","7.008465e-01"
"mel097","1.070590e-01","2.066108e-02","3.633712e-01","1.533640e-01","1.290768e-01","1.558409e-02","5.205976e-08","2.108838e-01"
"mel412","1.096151e-09","2.529278e-02","2.089897e-01","5.469534e-02","1.609758e-01","9.783310e-03","2.672874e-09","5.402630e-01"
"mel164","9.274569e-02","4.168855e-02","3.137775e-01","2.191774e-01","2.464996e-01","2.302797e-02","6.671667e-05","6.301654e-02"
"mel397","7.482145e-03","1.922492e-02","1.707898e-01","4.774185e-02","1.091088e-01","1.152868e-02","1.043838e-09","6.341239e-01"
"mel186","1.596144e-09","2.470473e-02","1.698423e-01","3.624604e-09","1.382506e-01","1.325919e-02","2.816234e-04","6.536615e-01"
"mel180","6.047529e-02","2.152104e-02","3.070080e-01","2.365701e-01","1.430704e-01","1.800388e-02","2.102671e-09","2.133512e-01"
"mel032","7.488516e-02","1.912644e-02","1.996858e-01","1.016642e-01","1.400358e-01","1.452215e-02","1.158197e-09","4.500804e-01"
"mel324","2.663095e-02","2.251960e-02","1.672869e-01","8.693753e-02","1.365780e-01","1.316839e-02","7.814489e-10","5.468786e-01"
"mel116","2.591848e-05","2.187015e-02","2.262525e-01","2.750438e-02","1.462309e-01","1.358572e-02","8.788468e-11","5.645305e-01"
"mel058","3.988639e-09","1.866148e-02","1.597419e-01","6.310185e-07","1.516326e-01","9.979219e-03","2.320329e-06","6.599819e-01"
"mel421","4.329961e-09","2.012226e-02","8.859532e-02","3.148355e-02","1.410243e-01","1.002048e-02","1.188553e-06","7.087529e-01"
"mel143","2.131325e-06","1.441243e-02","1.017550e-02","1.702324e-09","1.905899e-01","6.111552e-03","2.127065e-03","7.765814e-01"
"mel268","1.901143e-09","2.831607e-02","2.053653e-01","2.187704e-02","1.823738e-01","1.327525e-02","1.230250e-08","5.487925e-01"
"mel264","3.473129e-02","2.594966e-02","2.236449e-01","2.828831e-02","1.067385e-01","8.493741e-03","5.788077e-08","5.721535e-01"
"mel166","5.498983e-07","2.019561e-02","1.877636e-01","5.818418e-02","1.419664e-01","1.244497e-02","1.490032e-09","5.794447e-01"
"mel144","1.678098e-05","2.545345e-02","2.125810e-01","3.539441e-05","1.725793e-01","1.336134e-02","8.620576e-08","5.759726e-01"
"mel146","7.393279e-03","2.100241e-02","2.042774e-01","4.165780e-02","1.317372e-01","1.313662e-02","5.467871e-10","5.807952e-01"
"mel408","3.586811e-08","2.450808e-02","1.967604e-01","2.482983e-02","1.372933e-01","1.194107e-02","2.783947e-09","6.046673e-01"
"mel429","2.733431e-02","2.396198e-02","2.677075e-01","9.605267e-02","1.896310e-01","1.040074e-02","1.237472e-09","3.849117e-01"
"mel172","5.943805e-03","2.317008e-02","2.254077e-01","7.457365e-02","1.528950e-01","1.045628e-02","2.454929e-09","5.075535e-01"
"mel013","4.600864e-10","1.973746e-02","2.507411e-01","3.013406e-07","1.295546e-01","1.451812e-02","2.724409e-05","5.854212e-01"
"mel096","1.493863e-10","2.759905e-02","1.889786e-01","4.392951e-02","1.354397e-01","1.243042e-02","1.334119e-09","5.916227e-01"
"mel262","9.232330e-03","2.215538e-02","6.298347e-02","1.081312e-10","1.765421e-01","1.102495e-02","3.400328e-04","7.177218e-01"
"mel251","1.425757e-04","2.091532e-02","1.384554e-01","9.849651e-09","7.278657e-02","9.283904e-03","6.233611e-10","7.584162e-01"
