"","V1","V2","V3","V4","V5","V6","V7","V8"
"cell_type","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel381","6.026188e-02","1.752100e-02","3.464109e-01","2.423634e-01","1.149350e-01","1.988982e-02","2.754356e-10","1.986180e-01"
"mel327","3.835129e-02","1.611680e-02","1.932974e-01","4.683731e-02","9.275308e-02","7.471776e-03","1.117395e-09","6.051724e-01"
"mel077","1.382676e-02","2.554832e-02","1.952637e-01","2.627318e-02","1.165128e-01","8.802496e-03","1.365727e-09","6.137727e-01"
"mel162","4.465110e-02","2.542168e-02","2.457692e-01","1.380006e-01","1.379040e-01","1.244417e-02","2.010368e-10","3.958093e-01"
"mel224","2.741192e-03","1.698339e-02","1.976947e-01","1.814528e-01","7.737636e-02","1.260749e-02","7.801567e-09","5.111441e-01"
"mel266","1.119288e-08","3.200545e-02","2.089829e-01","7.927714e-02","1.466283e-01","1.194937e-02","1.018338e-09","5.211569e-01"
"mel063","1.102453e-04","1.820829e-02","1.769137e-01","1.234803e-07","1.366368e-01","1.631719e-02","7.182183e-10","6.518136e-01"
"mel201","1.919953e-06","2.317899e-02","7.506406e-02","9.798604e-03","1.659316e-01","5.320532e-03","2.886642e-11","7.207043e-01"
"mel215","2.881647e-02","3.185374e-02","2.153501e-01","1.458797e-01","2.002778e-01","1.507279e-02","5.209708e-09","3.627493e-01"
"mel104","1.948183e-02","1.857636e-02","2.114564e-01","9.951931e-02","1.151394e-01","1.679680e-02","5.337911e-10","5.190299e-01"
"mel369","2.823166e-06","2.273180e-02","1.824259e-02","1.654713e-08","1.450193e-01","8.335097e-03","1.976323e-10","8.056684e-01"
"mel356","6.629265e-02","1.970681e-02","1.762112e-01","1.456986e-02","1.034557e-01","1.127550e-02","1.190199e-09","6.084882e-01"
"mel373","4.798221e-02","1.612450e-02","2.798830e-01","1.150821e-02","1.237339e-01","8.628817e-03","1.011966e-09","5.121394e-01"
"mel332","3.695540e-02","2.166891e-02","2.344170e-01","1.277164e-01","1.250758e-01","1.364043e-02","3.442959e-09","4.405259e-01"
"mel362","1.581195e-02","2.614286e-02","1.850759e-01","5.557008e-08","1.301266e-01","1.265172e-02","9.078257e-10","6.301909e-01"
"mel267","5.842123e-02","3.171756e-02","2.514045e-01","5.109298e-02","1.873179e-01","1.183420e-02","6.598630e-10","4.082116e-01"
"mel177","7.804331e-02","1.801701e-02","3.142390e-01","2.947034e-02","1.322674e-01","1.007918e-02","7.044698e-10","4.178838e-01"
"mel105","1.175220e-02","2.886465e-02","1.922902e-01","1.161373e-01","1.929617e-01","1.528451e-02","2.725598e-09","4.427094e-01"
"mel240","0.035850939","0.029734628","0.268289353","0.198788987","0.194506378","0.022614293","0.001373852","0.248841570"
"mel402","4.549927e-05","2.347255e-02","1.362513e-01","9.707518e-08","1.486198e-01","4.062890e-03","1.158979e-10","6.875479e-01"
"mel237","8.756937e-03","2.105206e-02","2.171425e-01","4.998795e-07","1.127632e-01","9.741442e-03","1.392662e-09","6.305433e-01"
"mel055","2.075197e-08","1.783210e-02","2.640535e-01","1.001957e-01","1.468707e-01","1.636583e-02","2.642759e-09","4.546821e-01"
"mel424","3.731984e-09","2.380755e-02","1.280239e-01","7.936323e-08","1.378031e-01","9.187857e-03","6.044388e-09","7.011775e-01"
"mel257","3.581507e-02","2.715769e-02","2.705982e-01","8.322551e-02","1.905981e-01","1.390818e-02","9.114182e-09","3.786973e-01"
"mel089","6.029284e-02","2.833700e-02","2.137810e-01","5.751890e-02","1.874080e-01","1.554183e-02","6.863378e-09","4.371204e-01"
"mel418","1.222803e-06","1.956868e-02","1.642474e-01","8.790234e-08","7.750141e-02","1.170292e-02","3.289535e-06","7.269750e-01"
"mel441","1.721460e-02","1.916136e-02","1.736887e-01","1.759275e-01","1.057744e-01","1.517153e-02","6.793008e-10","4.930619e-01"
"mel223","2.735807e-06","1.570127e-02","1.252465e-01","7.710648e-08","9.548980e-02","1.119746e-02","5.594318e-10","7.523622e-01"
"mel433","5.468625e-02","2.207286e-02","2.870451e-01","8.130483e-02","1.202088e-01","1.347250e-02","2.561513e-10","4.212096e-01"
"mel057","3.637990e-02","1.464788e-02","2.351547e-01","8.747038e-02","1.419686e-01","1.248560e-02","4.993057e-10","4.718930e-01"
"mel436","0.065818547","0.022382871","0.271565635","0.132593102","0.200831472","0.020138077","0.002522084","0.284148212"
