"","Module","ENSEMBL","Symbol","ncbi","kTotal","kWithin","kOut","kDiff"
"ENSG00000005100","grey","ENSG00000005100","DHX33","56919",545.548718034567,NA,NA,NA
"ENSG00000005102","black","ENSG00000005102","MEOX1","4222",755.413573698221,69.263371058155,686.150202640066,-616.886831581911
"ENSG00000005108","magenta","ENSG00000005108","THSD7A","221981",755.643840003088,58.4057648097753,697.238075193313,-638.832310383538
"ENSG00000005156","pink","ENSG00000005156","LIG3","3980",589.294636560535,49.2212869388245,540.07334962171,-490.852062682886
"ENSG00000005175","turquoise","ENSG00000005175","RPAP3","79657",1190.45772093319,667.196609687546,523.261111245643,143.935498441903
"ENSG00000005187","yellow","ENSG00000005187","ACSM3","6296",728.91399644456,145.505106410585,583.408890033975,-437.90378362339
"ENSG00000005189","grey","ENSG00000005189","REXO5","81691",531.955145777536,NA,NA,NA
"ENSG00000005194","brown","ENSG00000005194","CIAPIN1","57019",607.107070485147,188.135198219887,418.971872265261,-230.836674045374
"ENSG00000005206","brown","ENSG00000005206","SPPL2B","56928",693.526396510046,171.61459907967,521.911797430376,-350.297198350706
"ENSG00000005238","brown","ENSG00000005238","ATOSB","80256",566.934210061131,164.374699271767,402.559510789364,-238.184811517598
"ENSG00000005243","grey","ENSG00000005243","COPZ2","51226",628.794897760058,NA,NA,NA
"ENSG00000005249","turquoise","ENSG00000005249","PRKAR2B","5577",790.091267204828,286.224842579321,503.866424625507,-217.641582046186
"ENSG00000005302","turquoise","ENSG00000005302","MSL3","10943",956.184480679813,356.234214214802,599.950266465011,-243.716052250209
"ENSG00000005339","grey","ENSG00000005339","CREBBP","1387",584.361109219125,NA,NA,NA
"ENSG00000005379","yellow","ENSG00000005379","TSPOAP1","9256",735.213616568462,188.863115513183,546.350501055279,-357.487385542096
"ENSG00000005381","yellow","ENSG00000005381","MPO","4353",707.758267892802,261.405115851372,446.353152041429,-184.948036190057
"ENSG00000005421","grey","ENSG00000005421","PON1","5444",622.13151924762,NA,NA,NA
"ENSG00000005436","turquoise","ENSG00000005436","GCFC2","6936",1100.564074435,601.792261794722,498.771812640282,103.02044915444
"ENSG00000005448","brown","ENSG00000005448","WDR54","84058",623.019160983398,200.679807067047,422.339353916352,-221.659546849305
"ENSG00000005469","grey","ENSG00000005469","CROT","54677",569.846318890521,NA,NA,NA
"ENSG00000005471","grey","ENSG00000005471","ABCB4","5244",536.670199513738,NA,NA,NA
