"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol","entrez_symbol"
"ENSG00000228019",-0.0168641759293893,-4.5517761431861,-0.108016498858105,0.914034206123285,0.947227481045991,-6.94114784995053,NA,NA
"ENSG00000254639",-0.0203787759027927,-5.2596514499146,-0.10797366149599,0.914068165960575,0.947228982907502,-6.93269531628503,NA,NA
"ENSG00000243660",-0.0100376146471813,0.785847946770021,-0.107807860309118,0.914199608341657,0.947331500111766,-7.14757735710386,"ZNF487","642819"
"ENSG00000286764",-0.018683839975008,-5.7331342890873,-0.107675483552762,0.914304554492774,0.947392913672846,-6.9278204107021,NA,NA
"ENSG00000123739",0.0100460917771832,3.87272521769889,0.107636899328378,0.914335143724021,0.947392913672846,-7.48286146029677,"PLA2G12A","81579"
"ENSG00000250514",0.0206039512885461,-5.98098155884572,0.107610058810633,0.914356422723793,0.947392913672846,-6.92531127355167,"LINC02125","101928203"
"ENSG00000047597",0.0261169784559028,-1.29012243079568,0.107529675492526,0.914420150499599,0.947416082872249,-7.02505000783831,"XK","7504"
"ENSG00000134489",-0.0159089741607827,-3.64900737186113,-0.107499822505633,0.914443818044116,0.947416082872249,-6.95691357062422,"HRH4","59340"
"ENSG00000156239",0.00843647359679967,3.38108319933758,0.107400297214795,0.914522722566318,0.947464141261325,-7.42068481427464,"N6AMT1","29104"
"ENSG00000226025",0.0355910337369076,-2.47658604795175,0.107077140694157,0.91477892971103,0.947661369405397,-6.9866358664899,NA,NA
"ENSG00000065308",-0.00996376282488409,6.35292269879898,-0.107040875700354,0.914807682124478,0.947661369405397,-7.73535099654434,"TRAM2","9697"
"ENSG00000228221",0.0214790235025104,-3.10483045414676,0.107037107371383,0.91481066982071,0.947661369405397,-6.96939831529489,"LINC00578","100505566"
"ENSG00000232368",-0.0137550995491218,-0.647612713286511,-0.106984711720961,0.914852211512019,0.947670709091413,-7.05373674749498,NA,NA
"ENSG00000197870",0.0268354644320183,-4.15084395870426,0.106845255711508,0.91496277981353,0.947751548373401,-6.94695602582311,"PRB3","5544"
"ENSG00000185800",-0.00701844745021329,5.06745608650867,-0.106720617425033,0.915061601216727,0.94782021447796,-7.61879146405141,"DMWD","1762"
"ENSG00000267156",0.0165345818383726,-3.43823235774358,0.106609914329426,0.915149374992082,0.94787743298149,-6.96141280250798,NA,NA
"ENSG00000113805",-0.0357306615993103,-1.04340382768396,-0.106494633763376,0.915240779235361,0.94793840758599,-7.03592881559019,"CNTN3","5067"
"ENSG00000070718",0.0106673012824681,5.77599369233441,0.106302187851595,0.915393369237143,0.948062747266223,-7.68412856442063,"AP3M2","10947"
