"","B cell","Macrophage M1","Macrophage M2","Monocyte","Neutrophil","NK cell","T cell CD4+ (non-regulatory)","T cell CD8+","T cell regulatory (Tregs)","Myeloid dendritic cell","uncharacterized cell"
"mel329","0.01503466","0.00000000","0.00000000","0.17089986","0.00000000","0.05620298","0.07394924","0.00000000","0.01824670","0.07238312","0.59328345"
"mel410","0.02110813","0.04569859","0.00000000","0.35274966","0.00000000","0.04282963","0.00000000","0.08786774","0.01554886","0.00000000","0.43419740"
"mel250","0.03986086","0.04543337","0.00000000","0.25651253","0.00000000","0.04959851","0.04913780","0.12132236","0.03404072","0.00000000","0.40409384"
"mel351","0.005286897","0.014199107","0.000000000","0.326967318","0.000000000","0.041562256","0.000000000","0.015948032","0.013129938","0.000000000","0.582906452"
"mel416","0.017855470","0.007483079","0.029706739","0.000000000","0.056823530","0.007632298","0.071530756","0.001136273","0.027969003","0.052098770","0.727764084"
"mel014","0.000000000","0.005092219","0.000000000","0.553130134","0.000000000","0.097589817","0.000000000","0.000000000","0.015903183","0.000000000","0.328284647"
"mel247","0.01141106","0.00000000","0.00000000","0.35046887","0.00000000","0.10080228","0.07074821","0.00000000","0.02101522","0.02062704","0.42492732"
"mel011","0.009387987","0.000000000","0.000000000","0.487558536","0.000000000","0.076343378","0.000000000","0.000000000","0.015981840","0.000000000","0.410728259"
"mel314","0.05421023","0.08039680","0.02799808","0.13730374","0.00000000","0.03636105","0.00000000","0.08837705","0.03785928","0.00000000","0.53749379"
"mel440","0.006053997","0.016939759","0.054966472","0.040448205","0.000000000","0.040997515","0.059323364","0.006307210","0.007449216","0.094277593","0.673236668"
"mel359","0.082250038","0.048035652","0.008281767","0.130296379","0.000000000","0.013926605","0.175012573","0.022103809","0.041953557","0.020552399","0.457587220"
"mel068","0.02958504","0.03361490","0.02113924","0.00474966","0.12191532","0.01930657","0.06931634","0.02364430","0.01161198","0.06048209","0.60463458"
"mel126","0.005581403","0.039886480","0.001692214","0.052757204","0.095999619","0.011179914","0.016341719","0.000000000","0.013352631","0.076602480","0.686606337"
"mel221","0.005229518","0.000000000","0.000000000","0.661427293","0.000000000","0.102287821","0.000000000","0.020994106","0.074693593","0.000000000","0.135367669"
