"","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel215","2.822423e-02","3.196554e-02","2.161052e-01","1.447383e-01","2.006262e-01","1.475108e-02","5.030808e-10","3.635894e-01"
"mel104","1.913538e-02","1.855636e-02","2.113036e-01","1.002365e-01","1.144779e-01","1.679997e-02","5.054975e-10","5.194902e-01"
"mel369","7.754722e-09","2.352079e-02","1.814047e-02","2.678335e-08","1.449504e-01","8.058120e-03","2.402739e-09","8.053302e-01"
"mel356","6.628192e-02","1.909160e-02","1.758600e-01","1.588039e-02","1.032749e-01","1.127131e-02","6.210972e-10","6.083400e-01"
"mel373","4.763584e-02","1.559326e-02","2.795114e-01","1.201606e-02","1.233307e-01","8.156462e-03","7.392983e-10","5.137563e-01"
"mel332","3.699913e-02","2.159914e-02","2.345538e-01","1.266615e-01","1.251230e-01","1.363628e-02","1.252969e-09","4.414271e-01"
"mel362","1.617922e-02","2.653127e-02","1.842670e-01","1.813244e-07","1.302650e-01","1.275005e-02","5.648148e-10","6.300073e-01"
"mel267","5.877339e-02","3.295614e-02","2.520640e-01","4.995251e-02","1.879102e-01","1.242584e-02","1.438216e-09","4.059178e-01"
"mel177","7.758059e-02","1.806162e-02","3.126900e-01","3.130172e-02","1.319105e-01","1.005023e-02","1.898236e-09","4.184053e-01"
"mel105","1.193905e-02","2.881142e-02","1.917200e-01","1.162478e-01","1.929793e-01","1.525535e-02","4.285123e-11","4.430471e-01"
"mel240","0.035807411","0.029715606","0.268141328","0.198720006","0.194409239","0.022602471","0.001369274","0.249234665"
"mel402","8.447255e-10","2.335998e-02","1.370580e-01","8.765604e-08","1.468083e-01","3.272930e-03","7.936414e-06","6.894928e-01"
"mel237","8.587431e-03","2.101556e-02","2.163668e-01","7.757700e-08","1.123839e-01","9.528580e-03","1.259991e-06","6.321164e-01"
"mel055","2.585977e-08","1.731245e-02","2.671104e-01","9.702492e-02","1.479418e-01","1.615116e-02","3.686017e-09","4.544592e-01"
"mel424","2.104931e-09","2.476628e-02","1.279974e-01","8.196933e-07","1.375875e-01","9.115919e-03","2.085584e-06","7.005300e-01"
"mel257","3.622475e-02","2.709973e-02","2.685851e-01","8.319748e-02","1.903258e-01","1.381458e-02","8.394612e-10","3.807526e-01"
"mel089","6.006346e-02","2.826566e-02","2.132664e-01","5.798106e-02","1.876749e-01","1.551745e-02","1.283505e-09","4.372311e-01"
"mel418","2.570554e-09","1.866773e-02","1.619780e-01","1.198212e-07","7.699933e-02","1.182835e-02","8.341135e-05","7.304431e-01"
"mel441","1.705688e-02","1.899283e-02","1.745574e-01","1.755940e-01","1.056781e-01","1.534223e-02","2.257035e-09","4.927787e-01"
"mel223","4.113784e-08","1.426249e-02","1.246758e-01","2.278342e-08","9.975137e-02","1.146045e-02","3.486525e-08","7.498497e-01"
"mel433","5.492601e-02","2.208858e-02","2.859433e-01","8.121627e-02","1.205009e-01","1.348301e-02","3.898780e-10","4.218420e-01"
"mel057","3.667482e-02","1.445600e-02","2.350936e-01","8.712403e-02","1.423236e-01","1.249368e-02","5.967550e-09","4.718342e-01"
"mel436","0.065778804","0.022370395","0.271443289","0.132437708","0.200738432","0.020127553","0.002523502","0.284580316"
