"","B cell","Cancer associated fibroblast","T cell CD4+","T cell CD8+","Endothelial cell","Macrophage","NK cell","uncharacterized cell"
"mel069","1.229538e-08","2.289576e-02","5.198779e-02","1.225242e-07","1.096720e-01","6.722897e-03","4.199115e-05","8.086795e-01"
"mel411","1.122105e-02","2.141747e-02","2.113516e-01","1.116982e-01","1.324597e-01","1.376024e-02","1.544355e-09","4.980918e-01"
"mel277","7.746345e-02","2.941771e-02","2.755045e-01","1.401639e-01","1.885971e-01","1.304515e-02","3.648680e-10","2.758083e-01"
"mel300","2.542742e-02","2.029141e-02","2.175804e-01","2.987163e-04","1.351859e-01","1.165558e-02","1.590585e-10","5.895606e-01"
"mel376","8.864212e-02","1.823019e-02","3.585511e-01","1.636951e-01","1.362096e-01","1.515329e-02","4.170882e-10","2.195186e-01"
"mel005","9.130555e-03","2.936208e-02","2.747878e-01","8.297123e-02","2.060390e-01","1.286657e-02","3.083994e-10","3.848428e-01"
"mel107","1.662712e-09","3.170539e-02","1.534363e-01","1.465099e-07","2.054367e-01","1.153476e-02","1.016613e-04","5.977850e-01"
"mel283","4.017446e-02","2.072452e-02","2.582405e-01","2.070994e-01","1.100152e-01","1.777439e-02","1.644604e-10","3.459716e-01"
"mel417","1.506924e-09","1.711768e-02","8.745147e-02","4.975735e-08","1.171225e-01","6.562908e-03","3.155453e-09","7.717453e-01"
"mel297","1.465322e-10","2.224307e-02","5.850031e-03","2.047003e-08","1.622770e-01","6.226455e-03","4.441213e-06","8.033990e-01"
"mel326","6.477984e-02","2.154434e-02","2.431059e-01","8.039318e-02","1.164239e-01","1.298906e-02","1.070527e-09","4.607637e-01"
"mel040","7.590182e-09","1.871958e-02","1.059185e-01","2.590096e-02","1.275432e-01","7.776000e-03","9.917006e-11","7.141418e-01"
"mel382","7.883553e-03","2.188441e-02","2.004802e-01","1.549900e-02","1.306688e-01","1.259011e-02","1.546028e-11","6.109939e-01"
"mel275","2.318490e-08","1.873049e-02","9.732023e-02","2.191070e-05","1.537720e-01","1.041209e-02","1.234338e-04","7.196198e-01"
"mel396","5.992600e-02","1.222415e-02","2.538336e-01","1.511487e-01","1.004323e-01","1.644144e-02","3.742361e-07","4.059935e-01"
"mel325","5.687656e-02","2.433609e-02","2.071882e-01","1.484849e-01","1.277131e-01","1.613466e-02","7.708342e-10","4.192665e-01"
"mel409","9.036117e-02","2.608647e-02","2.611651e-01","7.871609e-02","1.630636e-01","1.408366e-02","1.315191e-09","3.665239e-01"
"mel103","3.869457e-02","2.375946e-02","2.535943e-01","8.911581e-02","1.182182e-01","1.334899e-02","1.885112e-10","4.632686e-01"
"mel208","1.427377e-08","2.476318e-02","1.926249e-01","2.228593e-08","1.338361e-01","1.230166e-02","6.211529e-06","6.364679e-01"
"mel273","7.252652e-10","2.607080e-02","1.796078e-01","4.623731e-02","1.065768e-01","1.359636e-02","2.947399e-04","6.276161e-01"
"mel163","5.268798e-09","2.132657e-02","1.067644e-01","2.030069e-02","1.656442e-01","7.178577e-03","2.257013e-08","6.787856e-01"
"mel039","5.210117e-02","2.355159e-02","2.695416e-01","2.338413e-01","1.337882e-01","1.985737e-02","1.233104e-09","2.673187e-01"
"mel210","6.905578e-06","1.324747e-02","1.410905e-01","8.682387e-08","1.010136e-01","1.081020e-02","1.762315e-10","7.338312e-01"
"mel171","1.231152e-09","1.710218e-02","8.969075e-02","6.608530e-06","7.094247e-02","1.171237e-02","3.292819e-04","8.102163e-01"
"mel175","2.313291e-09","2.793166e-02","1.027393e-01","1.864307e-05","1.428428e-01","8.889480e-03","3.225641e-06","7.175749e-01"
"mel319","4.942481e-02","1.650172e-02","2.178241e-01","1.290859e-01","1.213104e-01","1.557602e-02","1.080181e-10","4.502770e-01"
"mel157","5.558867e-02","1.832005e-02","2.915642e-01","1.559221e-01","1.320365e-01","1.596296e-02","1.449148e-09","3.306054e-01"
"mel008","2.496793e-08","2.612195e-02","1.221214e-01","5.348129e-07","1.637069e-01","1.193979e-02","3.533768e-10","6.761094e-01"
"mel046","7.192494e-02","2.828492e-02","3.214508e-01","3.236960e-02","2.183446e-01","1.439829e-02","3.458630e-10","3.132269e-01"
"mel427","3.499756e-02","2.563763e-02","2.914718e-01","8.296841e-02","1.725398e-01","1.605865e-02","8.459451e-10","3.763261e-01"
"mel036","2.529933e-02","2.259372e-02","2.314936e-01","6.595586e-02","1.541843e-01","1.362335e-02","3.872971e-11","4.868498e-01"
"mel122","8.903877e-05","3.008695e-02","2.551837e-01","1.819315e-02","1.935559e-01","1.647542e-02","2.308027e-08","4.864158e-01"
"mel213","4.891056e-02","2.835283e-02","2.912346e-01","1.098886e-01","1.739837e-01","1.655521e-02","3.218940e-10","3.310745e-01"
"mel182","1.958463e-05","2.819044e-02","2.053696e-01","5.179014e-02","1.560503e-01","1.268444e-02","6.995452e-10","5.458956e-01"
